1;arms_factory;4058.00;10.80;1331.00;3.96;0
1;arms_factory;4130.00;10.07;1608.00;1.80;0
1;arms_factory;4025.00;10.90;1463.00;3.00;0
1;arms_factory;2532.00;10.65;122.00;0.84;0
1;arms_factory;2921.00;13.53;15.00;2.40;0
1;arms_factory;4248.00;9.90;1463.00;5.07;0
1;industrial_complex;2756.00;14.23;110.00;1.45;0
1;industrial_complex;2927.00;13.50;12.00;4.47;0
1;industrial_complex;4109.00;13.05;1575.00;0.85;0
1;industrial_complex;2812.00;11.48;32.00;3.51;0
1;industrial_complex;2668.00;19.68;115.00;1.35;0
1;industrial_complex;2716.00;16.27;103.00;1.46;0
1;air_base;2821.00;11.10;29.00;5.58;0
1;naval_base;4174.00;9.82;1467.00;-3.39;12630
1;naval_base;4160.00;9.80;1545.00;-3.63;12630
1;naval_base;3986.00;9.78;1503.00;-2.11;12641
1;naval_base;4057.00;9.57;1569.00;-2.74;12666
1;naval_base;4245.00;9.78;1588.00;0.79;12630
1;naval_base;4004.00;9.50;1466.00;-1.71;12641
1;naval_base;4245.00;9.78;1399.00;-4.59;12630
1;naval_base;4171.00;9.50;1619.00;-1.57;12666
1;naval_base;3975.00;9.75;1491.00;-1.19;12641
1;naval_base;4205.00;9.85;1480.00;-2.62;12630
1;naval_base;3999.00;9.75;1525.00;-1.29;12641
1;naval_base;4205.00;9.53;1575.00;0.22;12630
1;naval_base;4168.00;9.80;1651.00;-2.50;12666
1;naval_base;4104.00;9.50;1597.00;-2.36;12666
1;naval_base;4255.00;9.82;1604.00;-3.99;12630
1;naval_base;4190.00;9.80;1501.00;1.05;12630
1;naval_base;4265.00;9.53;1458.00;-4.57;12630
1;naval_base;2557.00;9.50;35.00;-1.57;12635
1;naval_base;4224.00;9.70;1643.00;0.95;12630
1;naval_base;4131.00;9.53;1615.00;-3.14;12666
1;naval_base;3969.00;9.90;1450.00;-2.52;12641
1;naval_base;4048.00;9.80;1565.00;-2.52;12666
1;naval_base;4226.00;9.50;1484.00;-3.04;12630
1;naval_base;4173.00;9.80;1472.00;1.25;12630
1;naval_base;4247.00;9.60;1435.00;0.79;12630
1;naval_base;4185.00;9.80;1511.00;-3.93;12630
1;naval_base;4182.00;9.78;1541.00;0.52;12630
1;naval_base;4092.00;10.12;1587.00;-2.54;12666
1;naval_base;3981.00;9.85;1452.00;-2.45;12641
1;naval_base;4223.00;9.75;1625.00;-4.29;12630
1;naval_base;3939.00;9.55;1413.00;-1.93;12641
1;naval_base;2544.00;9.53;49.00;-0.79;12635
1;naval_base;2555.00;9.50;19.00;-1.68;12635
1;bunker;2672.00;19.30;113.00;3.66;0
1;bunker;2699.00;13.35;136.00;0.04;0
1;bunker;4233.00;11.30;1443.00;2.70;0
1;bunker;4182.00;10.75;1387.00;5.72;0
1;bunker;4143.00;16.48;1583.00;0.64;0
1;bunker;2799.00;19.02;203.00;4.76;0
1;bunker;2817.00;11.48;40.00;2.61;0
1;bunker;2589.00;12.65;25.00;2.71;0
1;bunker;4168.00;10.10;1461.00;0.55;0
1;bunker;4047.00;11.82;1397.00;3.21;0
1;bunker;4086.00;11.07;1469.00;4.77;0
1;bunker;2843.00;13.28;79.00;1.16;0
